Relative Compactness,Surface Area,Wall Area,Roof Area,Overall Height,Orientation,Glazing Area,Glazing Area Distribution,Heating Load
0.62,808.5,367.5,220.5,3.5,3.313,0.1,6.195,12.74
0.9,563.5,318.5,122.5,7.0,6.477,0.1,2.004,29.68
0.9,563.5,318.5,122.5,7.0,4.9879999999999995,0.4,-2.0460000000000003,36.57
0.79,637.0,343.0,147.0,7.0,1.1440000000000001,0.25,-0.774,38.57
0.9,563.5,318.5,122.5,7.0,4.219,0.4,6.958,34.72
0.64,784.0,343.0,220.5,3.5,-1.0110000000000001,0.25,6.777,16.99
0.64,784.0,343.0,220.5,3.5,0.6829999999999998,0.1,2.415,15.19
0.98,514.5,294.0,110.25,7.0,2.201,0.25,2.767,28.56
0.71,710.5,269.5,220.5,3.5,1.708,0.4,1.637,14.51
0.86,588.0,294.0,147.0,7.0,5.487,0.1,4.173,25.27
0.66,759.5,318.5,220.5,3.5,-1.21,0.4,8.972999999999999,14.96
0.9,563.5,318.5,122.5,7.0,2.842,0.25,1.803,33.27
0.82,612.5,318.5,147.0,7.0,7.225,0.25,2.524,24.96
0.66,759.5,318.5,220.5,3.5,7.138999999999999,0.4,2.349,15.09
0.69,735.0,294.0,220.5,3.5,3.1719999999999997,0.25,3.5,12.95
0.79,637.0,343.0,147.0,7.0,7.074,0.25,-1.995,38.98
0.79,637.0,343.0,147.0,7.0,3.513,0.0,-1.839,28.75
0.66,759.5,318.5,220.5,3.5,10.666,0.4,1.883,15.3
0.62,808.5,367.5,220.5,3.5,1.464,0.25,6.027,13.95
0.76,661.5,416.5,122.5,7.0,3.677,0.1,0.859,32.4
0.82,612.5,318.5,147.0,7.0,4.616,0.25,4.437,25.17
0.74,686.0,245.0,220.5,3.5,1.633,0.1,3.971,10.07
0.82,612.5,318.5,147.0,7.0,8.111,0.1,1.086,23.87
0.64,784.0,343.0,220.5,3.5,4.343,0.4,1.236,18.46
0.74,686.0,245.0,220.5,3.5,1.37,0.4,5.857,14.61
0.9,563.5,318.5,122.5,7.0,3.862,0.4,4.822,34.24
0.62,808.5,367.5,220.5,3.5,-0.29700000000000015,0.4,2.778,16.76
0.62,808.5,367.5,220.5,3.5,3.565,0.1,2.6470000000000002,13.0
0.79,637.0,343.0,147.0,7.0,1.3780000000000001,0.4,0.351,41.26
0.71,710.5,269.5,220.5,3.5,3.944,0.4,4.755,12.76
0.98,514.5,294.0,110.25,7.0,3.468,0.4,2.277,32.71
0.9,563.5,318.5,122.5,7.0,3.795,0.4,-0.9079999999999999,37.24
0.66,759.5,318.5,220.5,3.5,5.931,0.1,4.436999999999999,11.33
0.69,735.0,294.0,220.5,3.5,3.089,0.4,1.67,14.28
0.86,588.0,294.0,147.0,7.0,5.4879999999999995,0.1,7.048,26.33
0.79,637.0,343.0,147.0,7.0,1.157,0.4,5.145,41.73
0.64,784.0,343.0,220.5,3.5,3.822,0.4,5.853,17.69
0.66,759.5,318.5,220.5,3.5,0.007000000000000117,0.1,-0.808,11.69
0.79,637.0,343.0,147.0,7.0,7.332,0.25,3.931,39.83
0.71,710.5,269.5,220.5,3.5,4.376,0.4,5.124,14.5
0.76,661.5,416.5,122.5,7.0,2.551,0.25,2.766,36.43
0.66,759.5,318.5,220.5,3.5,1.562,0.1,5.741,11.34
0.62,808.5,367.5,220.5,3.5,3.759,0.0,0.413,8.5
0.64,784.0,343.0,220.5,3.5,3.1020000000000003,0.1,2.628,15.36
0.69,735.0,294.0,220.5,3.5,4.226,0.1,2.625,11.18
0.64,784.0,343.0,220.5,3.5,1.751,0.1,2.6029999999999998,15.42
0.86,588.0,294.0,147.0,7.0,0.347,0.0,-4.799,19.5
0.82,612.5,318.5,147.0,7.0,2.32,0.25,6.197,25.17
0.9,563.5,318.5,122.5,7.0,3.904,0.4,2.623,36.57
0.79,637.0,343.0,147.0,7.0,3.98,0.25,4.301,39.04
0.69,735.0,294.0,220.5,3.5,3.84,0.1,0.587,11.13
0.9,563.5,318.5,122.5,7.0,0.641,0.25,3.225,32.4
0.71,710.5,269.5,220.5,3.5,5.377,0.1,2.5,10.7
0.62,808.5,367.5,220.5,3.5,5.05,0.25,1.01,15.08
0.82,612.5,318.5,147.0,7.0,4.78,0.4,4.3740000000000006,28.64
0.82,612.5,318.5,147.0,7.0,1.246,0.4,3.989,29.67
0.9,563.5,318.5,122.5,7.0,1.2730000000000001,0.4,2.992,35.96
0.86,588.0,294.0,147.0,7.0,7.324,0.25,2.877,28.66
0.74,686.0,245.0,220.5,3.5,4.815,0.25,6.33,12.43
0.66,759.5,318.5,220.5,3.5,5.058,0.4,1.5819999999999999,15.23
0.62,808.5,367.5,220.5,3.5,1.6989999999999998,0.1,6.5489999999999995,12.8
0.82,612.5,318.5,147.0,7.0,3.232,0.1,1.5659999999999998,23.53
0.82,612.5,318.5,147.0,7.0,2.917,0.1,0.563,22.79
0.82,612.5,318.5,147.0,7.0,2.377,0.4,1.109,28.01
0.79,637.0,343.0,147.0,7.0,0.3560000000000001,0.0,1.607,28.52
0.76,661.5,416.5,122.5,7.0,4.144,0.4,3.4859999999999998,39.31
0.82,612.5,318.5,147.0,7.0,-0.04400000000000004,0.25,1.967,25.98
0.66,759.5,318.5,220.5,3.5,2.4859999999999998,0.4,7.822,14.92
0.9,563.5,318.5,122.5,7.0,0.7110000000000001,0.25,3.05,32.67
0.66,759.5,318.5,220.5,3.5,0.958,0.25,1.048,12.93
0.86,588.0,294.0,147.0,7.0,4.542,0.1,1.16,26.28
0.62,808.5,367.5,220.5,3.5,4.253,0.25,0.7150000000000001,15.16
0.74,686.0,245.0,220.5,3.5,4.41,0.4,5.4670000000000005,14.44
0.86,588.0,294.0,147.0,7.0,1.319,0.4,4.105,32.38
0.69,735.0,294.0,220.5,3.5,1.0150000000000001,0.4,7.629,14.37
0.76,661.5,416.5,122.5,7.0,7.427,0.0,-0.483,23.93
0.86,588.0,294.0,147.0,7.0,6.513999999999999,0.25,0.5249999999999999,29.43
